,Falstaff,Henryv H5,Hotspur R2,Henryiv,Worcester,Glendower,Vernon,Mistressquickly,Mortimer,Poins,Blunt,Bardolph,Westmoreland,Douglas,Ladypercy,Gadshill,Northumberland R2,Peto,Archbishop,Sheriff,Bedford H5,Travelers Carriers 1,Travelers Carriers 2,Messengers X,Chamberlain,Travelers Gentlemen 0 1,Drawers Francis,Vintner,Travelers Gentlemen,Sirmichael,Messengers 2,Servants Hotspur 1,Messengers 1,Travelers Carriers X,Travelers Carriers,Ostler,Ladymortimer,Attendants,Soldiers Henry,Soldiers Hotspur
Falstaff,899.0,4536.0,471.0,11.0,11.0,0.0,11.0,1907.0,0.0,2842.0,282.0,4094.0,139.0,0.0,0.0,2681.0,0.0,3292.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,2350.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0
Henryv H5,3047.0,209.0,498.0,1009.0,171.0,0.0,171.0,894.0,0.0,2094.0,304.0,1616.0,272.0,89.0,0.0,1165.0,0.0,1887.0,0.0,111.0,573.0,0.0,0.0,0.0,0.0,0.0,1264.0,16.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,131.0,0.0
Hotspur R2,102.0,159.0,436.0,524.0,3590.0,779.0,1218.0,0.0,963.0,0.0,1168.0,0.0,0.0,1754.0,558.0,0.0,1503.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,50.0,194.0,0.0,0.0,0.0,232.0,524.0,0.0,361.0
Henryiv,423.0,1917.0,400.0,0.0,494.0,0.0,340.0,0.0,0.0,0.0,925.0,0.0,937.0,57.0,0.0,0.0,400.0,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,230.0,0.0
Worcester,414.0,441.0,977.0,476.0,0.0,29.0,794.0,0.0,144.0,0.0,449.0,0.0,27.0,258.0,0.0,0.0,523.0,0.0,0.0,0.0,441.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,27.0,80.0
Glendower,0.0,0.0,669.0,0.0,707.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0
Vernon,0.0,0.0,525.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0
Mistressquickly,515.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,515.0,0.0,0.0,0.0,112.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mortimer,0.0,0.0,538.0,0.0,543.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0
Poins,319.0,678.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,126.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blunt,0.0,59.0,228.0,120.0,167.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
Bardolph,163.0,166.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westmoreland,75.0,73.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0
Douglas,0.0,0.0,265.0,75.0,192.0,0.0,114.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
Ladypercy,0.0,0.0,508.0,0.0,67.0,67.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0
Gadshill,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,0.0,5.0,0.0,42.0,0.0,0.0,0.0,44.0,44.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumberland R2,0.0,0.0,217.0,65.0,139.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
