,Capulet,Romeo,Friarlawrence,Mercutio,Princeescalus,Juliet,Nurse,Benvolio,Ladycapulet,Tybalt,Montague,Paris,Servants Montague Balthasar,Watchmen 0 1,Servants Capulet 0 1,Servants Paris 1,Servants Capulet Sampson,Servants Capulet Peter,Cousin,Servants Capulet Gregory,Servants Capulet X 1,Musicians 0 1,Chorus,Watchmen 0 3,Friarjohn,Servants Capulet 0 2,Servants Capulet 0 3,Ladymontague,Citizens,Servants Capulet X 2,Apothecary,Musicians 0 2,Citizens 0 1,Servants Montague Abram,Servants Capulet 0,Watchmen 0 2,Musicians 0 3,Petruchio,Servants Capulet,Guests,Attendants,Attendants Prince,Maskers,Servants Montague 1,Servants,Musicians,Servants Tybalt 1,Watchmen,Boy,Servants Montague
Capulet,0.0,678.0,273.0,592.0,86.0,1941.0,1774.0,624.0,2315.0,550.0,56.0,931.0,86.0,0.0,0.0,86.0,32.0,0.0,592.0,32.0,325.0,0.0,0.0,86.0,0.0,0.0,0.0,19.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,86.0,0.0,0.0,791.0,592.0,592.0,86.0,592.0,32.0,0.0,187.0,266.0,86.0,592.0,0.0
Romeo,258.0,440.0,981.0,919.0,0.0,2500.0,659.0,1883.0,258.0,325.0,0.0,819.0,1120.0,0.0,0.0,341.0,0.0,269.0,258.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,388.0,258.0,556.0,0.0,556.0,0.0,0.0,0.0,111.0,0.0,556.0,147.0
Friarlawrence,670.0,2052.0,306.0,0.0,424.0,1663.0,735.0,0.0,670.0,0.0,424.0,1016.0,689.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,246.0,0.0,424.0,0.0,0.0
Mercutio,0.0,1897.0,0.0,0.0,0.0,0.0,179.0,2555.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,0.0,661.0,0.0,661.0,0.0,0.0,0.0,0.0,0.0,661.0,710.0
Princeescalus,679.0,352.0,352.0,0.0,0.0,352.0,0.0,342.0,679.0,342.0,657.0,352.0,352.0,0.0,0.0,352.0,198.0,0.0,0.0,198.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,342.0,342.0,0.0,0.0,0.0,0.0,198.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,198.0,144.0,0.0,0.0,352.0,0.0,0.0
Juliet,228.0,1679.0,663.0,77.0,0.0,1101.0,1744.0,77.0,736.0,0.0,0.0,281.0,142.0,0.0,0.0,27.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,77.0,0.0,77.0,0.0,0.0,0.0,0.0,27.0,77.0,0.0
Nurse,199.0,885.0,286.0,139.0,0.0,2010.0,0.0,139.0,865.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,579.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,59.0,0.0,59.0,0.0,0.0,82.0,0.0,0.0,59.0,0.0
Benvolio,269.0,692.0,0.0,431.0,258.0,11.0,19.0,0.0,269.0,379.0,508.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,11.0,42.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,263.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,44.0,55.0,11.0,125.0,0.0,125.0,42.0,258.0,0.0,0.0,0.0,125.0,133.0
Ladycapulet,348.0,47.0,101.0,0.0,162.0,925.0,591.0,128.0,0.0,128.0,115.0,119.0,47.0,0.0,0.0,47.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,115.0,128.0,13.0,0.0,0.0,0.0,13.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,13.0,115.0,54.0,0.0,47.0,0.0,0.0
Tybalt,153.0,231.0,0.0,267.0,0.0,153.0,153.0,329.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,153.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,114.0,267.0,153.0,153.0,0.0,153.0,49.0,0.0,0.0,64.0,0.0,153.0,114.0
Montague,133.0,117.0,95.0,0.0,120.0,95.0,0.0,281.0,133.0,38.0,0.0,95.0,95.0,0.0,0.0,95.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,281.0,38.0,0.0,0.0,0.0,0.0,13.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,13.0,25.0,0.0,0.0,95.0,0.0,0.0
Paris,140.0,113.0,284.0,0.0,0.0,595.0,65.0,0.0,102.0,0.0,0.0,0.0,113.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
Servants Montague Balthasar,60.0,284.0,155.0,0.0,60.0,284.0,0.0,0.0,60.0,0.0,60.0,188.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
Watchmen 0 1,46.0,176.0,55.0,0.0,46.0,176.0,0.0,0.0,46.0,0.0,0.0,176.0,176.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0
Servants Capulet 0 1,58.0,88.0,0.0,88.0,0.0,13.0,45.0,88.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,88.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0
Servants Paris 1,50.0,75.0,50.0,0.0,50.0,92.0,0.0,0.0,50.0,0.0,50.0,92.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
Servants Capulet Sampson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Capulet Peter,0.0,55.0,0.0,2.0,0.0,248.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0
Cousin,25.0,25.0,0.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0
Servants Capulet Gregory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Capulet X 1,0.0,91.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musicians 0 1,0.0,0.0,0.0,0.0,0.0,88.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0
Chorus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watchmen 0 3,0.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
Friarjohn,0.0,0.0,111.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Capulet 0 2,20.0,23.0,0.0,23.0,0.0,20.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
